order_id,order_date,customer_id,product_id,category,quantity,unit_price,region,total_sales
1,2024-02-07,2874,32,Fashion,4,340.87,North,1363.48
2,2024-08-23,402,223,Home,1,373.47,East,373.47
3,2024-03-13,231,172,Electronics,4,481.01,South,1924.04
4,2024-09-12,436,399,Sports,3,215.93,South,647.79
5,2024-07-22,2702,484,Electronics,5,132.37,South,661.85
6,2024-05-13,770,367,Fashion,2,111.98,East,223.96
7,2024-12-01,817,31,Sports,5,78.25,East,391.25
8,2024-05-24,1940,258,Sports,3,245.61,West,736.83
9,2024-05-09,2704,171,Sports,3,366.27,South,1098.81
10,2024-03-12,415,68,Fashion,5,77.55,South,387.75
11,2024-08-25,2119,474,Sports,1,246.21,East,246.21
12,2024-10-08,1217,384,Home,1,292.5,East,292.5
13,2024-06-27,902,355,Electronics,1,383.07,North,383.07
14,2024-10-03,1049,409,Home,5,325.9,North,1629.5
15,2024-09-11,1933,27,Electronics,4,42.8,South,171.2
16,2024-12-23,1387,251,Fashion,5,392.12,North,1960.6
17,2024-09-09,1868,479,Fashion,5,446.19,East,2230.95
18,2024-06-05,2865,308,Home,3,291.65,North,874.9499999999999
19,2024-02-20,2457,377,Sports,1,218.28,North,218.28
20,2024-03-09,297,298,Fashion,5,453.99,South,2269.95
21,2024-08-03,2689,492,Sports,5,296.97,East,1484.8500000000001
22,2024-08-29,896,378,Electronics,4,210.83,West,843.32
23,2024-12-18,1111,358,Electronics,3,463.39,West,1390.17
24,2024-03-27,1494,56,Electronics,3,271.15,East,813.4499999999999
25,2024-05-21,431,73,Sports,2,51.33,East,102.66
26,2024-01-08,2252,241,Sports,4,61.31,North,245.24
27,2024-11-15,820,407,Home,5,47.04,East,235.2
28,2024-11-13,2877,379,Electronics,2,134.64,West,269.28
29,2024-01-23,920,410,Electronics,4,242.51,West,970.04
30,2024-11-09,178,60,Sports,3,301.46,North,904.3799999999999
31,2024-01-02,132,473,Fashion,3,260.98,North,782.94
32,2024-11-12,1233,232,Sports,2,81.81,East,163.62
33,2024-07-28,692,493,Fashion,5,328.22,North,1641.1000000000001
34,2024-09-21,1517,473,Sports,5,415.23,North,2076.15
35,2024-08-04,173,286,Fashion,4,416.37,West,1665.48
36,2024-05-21,1594,395,Fashion,4,49.18,West,196.72
37,2024-04-25,1805,338,Sports,3,253.29500000000002,West,759.885
38,2024-05-01,1696,489,Electronics,1,262.06,East,262.06
39,2024-01-31,1451,396,Fashion,5,124.28,West,621.4
40,2024-03-12,2963,409,Electronics,4,95.32,South,381.28
41,2024-02-19,1533,323,Electronics,2,10.25,East,20.5
42,2024-11-09,1836,114,Fashion,5,387.97,East,1939.8500000000001
43,2024-01-04,684,379,Home,2,439.44,West,878.88
44,2024-10-07,2663,387,Home,5,463.07,North,2315.35
45,2024-02-13,1350,355,Home,3,282.27,South,846.81
46,2024-03-17,1646,193,Fashion,4,161.52,North,646.08
